,ProtocolNum,ProductName,FullTitle,ProtocolPhase,ProtocolStatus,TA,PlannedEnrollment,ActualEnrollment,ActualScreened,ActualRescreened,ActualScreenFailure,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,LegacyCompany,CRO,PlannedPrimaryStudy_CompletionDate,ActualPrimaryStudy_CompletionDate,SynopsisActualDate,Protocol_ActualDate,FirstSiteActivated_ActualDate,FSS_ActualDate,FSI_ActualDate,FSFV_ActualDate,LSI_ActualDate,LSI_AvgTx_ActualDate,LSO_ActualDate,LSO_2_ActualDate,LSO_3_ActualDate,LSO_4_ActualDate,LSO_Final_ActualDate,DBL_ActualDate,DBL_2_ActualDate,DBL_3_ActualDate,DBL_4_ActualDate,DBL_Final_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,Protocol_to_FirstSiteActivated,FirstSiteActivated_to_FSS,FSS_to_FSI,FSI_to_FSFV,FSFV_to_LSI,LSI_to_LSIAvgTxL,LSI_to_LSO
1256,TAK-831-1003,TAK-831,"A Phase 1, Open-Label, Positron Emission Tomography Study in Healthy Subjects to Determine D-Amino Acid Oxidase Brain Enzyme Occupancy of TAK-831 After Single-Dose Oral Administration",I,Closed,NS,22,16,0,0,5,0,0,72.73%,1,0,0,IQVIA,0,,2015-06-30,2015-11-25,,2016-03-21,2016-04-06,,2016-08-04,,2016-08-30,,,,,2016-11-16,,,,,78,5,5,,148,,,16,,,,26
1260,TAK-831-1501,TAK-831,"A Phase II, Randomized, Investigator-Blind, Placebo-Controlled, Cross-Over Study to Evaluate Pharmacodynamic Effects, Efficacy, Safety, Tolerability and Pharmacokinetics of Acute Multiple Rising Doses of  Oral TAK-831 in Adult Patients with Friedreich’s Ataxia (FRDA)",II,Closed,NS,65,63,0,0,14,0,0,96.92%,6,0,0,IQVIA,0,,2017-02-20,2017-04-15,,2017-11-01,2017-11-28,,2018-09-27,,2018-12-27,,,,,2019-02-11,,,,,46,5,5,,54,,,27,,,,91
1267,TAK-831-2002,TAK-831,POC SCH,II,Completed,NS,234,307,504,0,198,257,31,131.20%,48,0,0,IQVIA,0,,2017-08-31,2017-10-17,,2018-01-04,2018-02-19,,2020-10-09,,2021-01-12,,,,,2021-02-17,,,,,36,5,5,,47,,,46,,,,95
1272,TAK-831-1006,TAK-831,T2/T3 Food Effect,I,Closed,NS,16,16,58,0,42,0,0,100.00%,1,0,0,Celerion,0,,2018-08-02,2018-10-02,,2018-10-18,2018-11-03,,2018-11-03,,2018-12-22,,,,,2019-01-30,,,,,39,5,5,,61,,,16,,,,49
1273,TAK-831-1004,TAK-831,"An Open-Label, Single-Dose, 2-Period Sequential Design Phase 1 Study to Evaluate the Effect of Food on the Pharmacokinetics of  TAK-831 Formulation T2 in Healthy Subjects",I,Closed,NS,16,15,38,0,23,0,1,93.75%,1,0,0,PRA,0,,2017-01-11,2017-02-20,,2017-03-29,2017-04-25,,2017-05-02,,2017-05-24,,,,,2017-07-24,,,,,61,5,5,,40,,,27,,,,22
1302,SYR-322_104,Nesina (Alogliptin),"A Single Dose PK, PD and Safety Study of 12.5 and 25 mg SYR-322 Administered Orally to Children and Adolescents and  Adults with Type 2 (Non-Insulin Dependent) Diabetes Mellitus",I,Closed,NonCore,48,47,126,0,80,0,1,97.92%,4,0,0,Covance,0,,,2008-11-20,,,2009-11-09,,2013-11-14,,2013-11-22,,,,,2014-03-10,,,,,108,5,5,,,,,,,,,8
1306,SYR-322MET_303,Nesina (Alogliptin),"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Determine the Efficacy and Safety of Alogliptin and Metformin Fixed Dose Combination, Alogliptin Alone, or Metformin Alone in Subjects with Type 2 Diabetes Mellitus",III,Closed,NonCore,659,651,1266,0,431,0,134,98.79%,71,22,0,Covance,0,,2011-03-29,2011-08-18,,2013-08-27,2013-10-07,,2015-03-31,,2015-10-05,,,,,2016-06-29,,,,,268,5,5,,142,,,41,,,,188
1307,SYR322MET-1003,Nesina (Alogliptin),"An Open-Label, Single-dose, Randomized, Crossover Study to Determine the Comparative Bioavailability and Bioequivalence of Alogliptin 12.5 mg and Metformin 1000 mg When Administered as Individual Tablets and as a Fixed-Dose Combination Tablet Vipdomet (Alogliptin FDC with Metformin) in Russian Healthy Subjects.",I,Closed,NonCore,24,24,36,0,8,0,0,100.00%,1,1,0,PPD,0,,2014-10-09,2015-02-11,,2016-03-17,2016-04-08,,2016-04-15,,2016-04-27,,,,,2016-06-15,,,,,49,5,5,,125,,,22,,,,12
1310,TAK-063_102,TAK-063,"A Randomized, Investigator and Subject-Blind, Placebo-Controlled, Single-Dose, 3-Period,
Incomplete Block Cross-Over Study to Evaluate the Effects of Single Oral Administration
of TAK-063 on Preventing Ketamine-Induced Brain Activity Changes as Well as
Psychotic-Like Symptoms in Healthy Male Adults",I,Closed,RGH,27,27,58,0,31,0,7,100.00%,1,0,0,Covance,0,,2012-06-25,2013-03-28,,2013-06-27,2013-08-05,,2014-07-21,,2014-08-28,,,,,2015-08-13,,,,,350,5,5,,276,,,39,,,,38
1311,TAK-063_103,TAK-063,"An Open-Label [11C]T-773 Positron Emission Tomography Study to Determine
Phosphodiesterase10A Occupancy by TAK-063 After a Single Oral Dose in Human
Volunteers",I,Closed,RGH,18,13,36,0,21,0,1,72.22%,1,0,0,Covance,0,,2012-10-17,2013-05-14,,2013-08-13,2013-10-09,,2014-02-27,,2014-03-12,,,,,2014-06-12,,,,,92,5,5,,209,,,57,,,,13
1314,TAK-491_305,EDARBI (azilsartan medoxomil),"Phase 3, Double-Blind, Randomized, Parallel-Group Study to Compare the Efficacy and Safety of TAK-491 with Valsartan in Chinese Subjects with Essential Hypertension",III,Closed,NonCore,600,582,0,0,95,12,0,97.00%,30,0,0,IQVIA,0,,2011-02-16,2011-04-28,,2015-08-27,2015-09-21,,2017-08-31,,2017-10-27,,,,,2017-12-08,,,,,42,5,5,,71,,,25,,,,57
1316,TAK-491_112,EDARBI (azilsartan medoxomil),"A Randomized, Open-Label and Double-Blind, Placebo-Controlled, Single- and Multiple-Dose, Phase 1 Study of the Pharmacokinetics of TAK-491 40 mg and 80 mg in
Healthy Chinese Subjects",I,Closed,NonCore,64,53,0,0,147,0,0,82.81%,1,0,0,IQVIA,0,,2011-03-18,2011-04-26,,2015-11-17,2015-11-20,,2017-02-22,,2017-03-19,,,,,2017-05-03,,,,,45,5,5,,39,,,3,,,,25
1319,TAK-653-1001,TAK-653,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Safety, Tolerability and Pharmacokinetic Study of Escalating Single and Multiple Doses of TAK-653 in Healthy Subjects",I,Closed,NS,72,88,0,0,0,0,1,122.22%,1,0,0,PPD,0,,2015-05-01,2015-06-24,,2015-08-26,2015-09-14,,2017-08-17,,2017-09-23,,,,,2017-10-20,,,,,27,5,5,,54,,,19,,,,37
1345,TAK-063-2002,TAK-063,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-group, 6-week Study to Evaluate the Efficacy and Safety of  Three Doses (5 mg,10 mg, 20 mg) of Oral TAK-063 in Patients (Acute SZC)",II,Closed,RGH,160,115,0,0,42,0,0,71.88%,16,0,0,IQVIA,0,,2015-01-13,2015-03-26,,2015-07-01,2015-07-07,,2016-05-31,,2016-07-27,,,,,2016-09-09,,,,,44,5,5,,72,,,6,,,,57
1361,TAK-390MR_207,"DEXILANT (dexlansoprazole, MR)","A Phase 2 Multicenter, 36-Week Study to Assess the Safety and Effectiveness of Daily Oral
Administration of Dexlansoprazole Delayed-Release Capsules for Healing of Erosive
Esophagitis and Maintenance of Healed Erosive Esophagitis and Relief of Heartburn, in
Adolescent Subjects Aged 12 to 17 Years",II,Closed,NonCore,63,0,0,0,0,0,0,0.00%,58,2,0,IQVIA,0,,2011-06-06,2012-02-09,,2012-07-17,2012-07-18,,2014-03-04,,2014-11-10,,,,,2014-12-18,,,,,38,5,5,,248,,,1,,,,251
1363,TAK-438_114,vonoprazan,"An Open-Label, Single-center, Parallel, Phase 1 Study to Determine the Pharmacokinetics of Single- and Multiple- Oral Doses of TAK-438 10 mg and 20 mg in Healthy Adult Chinese Subjects",I,Closed,GI,36,33,104,0,71,0,0,91.67%,1,0,0,IQVIA,0,,2012-08-01,2012-08-01,,,2017-04-25,,2017-08-01,,2017-08-18,,,,,2017-10-04,,,,,47,5,5,,0,,,,,,,17
1364,TAK-438_303,vonoprazan,"Randomized, Double-Blind, Double-Dummy, TAK-438 20 mg, QD vs, Lansoprazole 30 mg QD,  Erosive Esophagitis",III,Closed,GI,480,288,0,0,91,4,0,60.00%,63,0,0,IQVIA,0,,2012-05-09,2012-08-08,,2015-03-09,2015-03-30,,2017-06-13,,2017-07-27,,,,,2017-09-01,,,,,36,5,5,,91,,,21,,,,44
1365,TAK-438_305,vonoprazan,"A Randomized, Double-Blind, Double-Dummy, Parallel-group Phase 3 Study to Evaluate the Efficacy and Safety of Oral Once-Daily Administration of TAK-438 10 or 20 mg Compared to Lansoprazole 15 mg in the Maintenance Treatment of Subjects With Endoscopic Healing of Erosive Esophagitis",III,All Activities Closed,GI,693,630,1,0,181,5,0,90.91%,72,0,0,IQVIA,0,,2012-08-22,2012-08-29,,2015-04-01,2015-04-08,,2018-07-03,,2018-12-31,,,,,2019-11-18,,,,,322,5,5,,7,,,7,,,,181
1373,TAK-063_104,TAK-063,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Safety, Tolerability and Pharmacokinetic Study of Multiple Rising Doses of TAK-063 in Subjects with Stable Schizophrenia and Healthy Japanese Subjects",I,Closed,RGH,90,77,162,0,85,0,4,85.56%,1,0,0,Covance,0,,2013-02-06,2013-03-26,,2013-06-21,2013-07-19,,2014-06-10,,2014-06-23,,,,,2014-08-20,,,,,58,5,5,,48,,,28,,,,13
1378,TAK-390MR_104,"DEXILANT (dexlansoprazole, MR)","Phase 1, Randomized, Double-Blind, Placebo Controlled, Multi-center Study to Evaluate the Effect of TAK-390MR 60 mg and Esomeprazole 40 mg on Bone Metabolism in Healthy Postmenopausal Female Subjects",I,Closed,NonCore,240,247,1488,0,1241,0,38,102.92%,11,0,0,IQVIA,0,,2009-04-16,2010-06-30,,2010-11-04,2011-01-24,,2013-01-18,,2014-01-19,,,,,2014-12-10,,,,,325,5,5,,440,,,81,,,,366
1394,TAK-935_101,soticlestat (TAK-935),"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Safety, Tolerability and Pharmacokinetic Study of Escalating Single Doses of TAK-935 in Healthy Subjects",I,Closed,NS,48,48,177,0,129,0,0,100.00%,1,0,0,PPD,0,,2014-03-17,2014-04-24,,2014-07-09,2014-07-31,,2015-07-10,,2015-07-16,,,,,2015-09-10,,,,,56,5,5,,38,,,22,,,,6
1395,TAK-935_1002,soticlestat (TAK-935),"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Safety, Tolerability and
Pharmacokinetic Study of Escalating Multiple Doses of TAK-935 in Healthy Subjects",I,Closed,NS,40,40,176,0,136,0,16,100.00%,1,0,0,PPD,0,,2015-03-30,2015-07-07,,2015-09-02,2015-09-27,,2016-03-20,,2016-04-19,,,,,2016-06-17,,,,,59,5,5,,99,,,25,,,,30
1397,TAK-935_1003,soticlestat (TAK-935),"An Open-Label, Positron Emission Tomography, Phase 1 Study with [18F]MNI-792 to Determine Cholesterol 24S-Hydroxylase Target Occupancy of TAK-935 After Single-Dose Oral Administration in Healthy Subjects",I,Closed,NS,11,11,26,0,15,0,0,100.00%,1,0,0,PPD,0,,,2015-05-14,,2015-07-01,2015-07-15,,2015-11-20,,2016-01-06,,,,,2016-03-04,,,,,58,5,5,,,,,14,,,,47
1400,TMX-67_204,ULORIC (febuxostat),"A Multicenter, Randomized, Double-Blind, Phase 2 Study to Evaluate the Effect of Febuxostat Versus Placebo in Joint Damage in Hyperuricemic Subjects with Early Gout",II,Closed,NonCore,300,0,0,0,0,0,0,0.00%,85,0,0,Covance,0,,2009-05-08,2009-08-19,,,2010-03-25,,2011-08-25,,2013-09-03,,,,,2013-12-09,,,,,97,5,5,,103,,,,,,,740
1401,TMX-67_206,ULORIC (febuxostat),"A Phase 2, Double-Blind, Placebo-Controlled Study to Assess the Effect of Febuxostat 80 mg Once Daily Compared to Placebo on Ambulatory Blood Pressure in Subjects With Hyperuricemia and Hypertension",II,Closed,NonCore,120,0,0,0,0,0,0,0.00%,40,0,0,Covance,0,,2011-05-24,2011-09-13,,2012-01-14,2012-02-04,,2014-06-12,,2014-08-04,,,,,2014-10-14,,,,,71,5,5,,112,,,21,,,,53
1402,TMX-67_301,ULORIC (febuxostat),"A Multicenter, Randomized, Active-Control, Phase 3B Study to Evaluate the Cardiovascular Safety of Febuxostat and Allopurinol in Subjects With Gout and Cardiovascular Comorbidities",III,Closed,NonCore,"7,500","6,193",0,0,0,0,2737,82.57%,450,0,0,PPD,0,,2009-04-09,2009-08-24,,2010-04-23,2010-04-30,,2016-07-25,,2017-05-15,,,,,2017-08-08,,,,,85,5,5,,137,,,7,,,,294
1403,Vedolizumab-4001,Entyvio,Conduct a milk-only lactation study in lactating women receiving MLN0002 therapeutically to assess concentrations of vedolizumab in breast milk using a validated assay,IV,Closed,GI,12,11,0,0,0,0,1,91.67%,8,0,0,PPD,0,,2014-08-18,2015-03-31,,2017-11-29,2017-12-12,,2018-12-27,,2019-02-22,,,,,2019-04-05,,,,,42,5,5,,225,,,13,,,,57
1410,TAK-020-1001,TAK-020,"Ph 1 Randomized, Double-Blind, Placebo-Controlled, Sequential-Panel, Ascending Single, MRD to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of TAK-020 in Healthy Volunteers",I,Closed,NonCore,128,114,0,0,377,120,0,89.06%,1,0,0,IQVIA,0,,2014-11-04,2014-12-19,,2015-03-09,2015-04-06,,2017-04-17,,2017-05-04,,,,,2017-07-25,,,,,82,5,5,,45,,,28,,,,17
1411,TAK-020-1002,TAK-020,"A Randomized, Open Label Phase 1 Study in Healthy Volunteers to Evaluate the Relative Bioavailability of a Single Dose of Various Test Solid Formulations of TAK-020 Compared With a Single Dose of Reference Oral Solution and to Evaluate the Food Effect and Potentially the Dose Proportionality of the Optimal Solid Dose Formulation",I,Closed,NonCore,25,23,0,0,62,25,0,92.00%,1,0,0,IQVIA,0,,2015-05-20,2015-12-11,,2016-04-28,2016-05-25,,2016-07-26,,2016-08-19,,,,,2016-11-07,,,,,80,5,5,,205,,,27,,,,24
1472,0624-209,CINRYZE,"A PHASE 3, OPEN-LABEL, SINGLE-PERIOD STUDY TO EVALUATE THE SAFETY AND TREATMENT EFFECT OF INTRAVENOUS ADMINISTRATION OF CINRYZE™ (C1 INHIBITOR [HUMAN]) FOR THE PREVENTION OF ANGIOEDEMA ATTACKS AND TREATMENT OF BREAKTHROUGH ATTACKS IN JAPANESE SUBJECTS WITH HEREDITARY ANGIOEDEMA (HAE)",III,Completed,NonCore,8,8,8,0,0,8,0,100.00%,10,0,ViroPharma,Parexel,0,,2015-12-10,2016-02-17,,2016-09-12,2016-09-13,,2017-03-07,,2017-06-23,,,,,2017-07-27,,,,,34,5,5,,69,,,1,,,,108
1527,60402,Advate (Antihemophilic Factor (Recombinant)),"ADVATE Randomized Surgery: Ph 3/4, Prospective, Controlled, Randomized, Multi-Center Study to Compare Efficacy & Safety of CI vs Intermittent BI in Subjects with Severe/Moderately Severe Hemophilia A in Subjects Undergoing Major Orthopedic Surgery",IV,Completed,RGH,60,61,86,3,15,0,12,101.67%,30,0,Baxalta,IQVIA,0,11/24/2016,,2004-11-18,,2006-05-29,2006-06-13,,2015-08-24,,2016-05-09,,,,,2016-03-11,,,,,-59,5,5,,,,,15,,,,259
1546,71301,Vonvendi (von Willebrand factor (recombinant)),"SHP677 Vonvendi (BAX111) rVWF LT Prophy: A Prospective, Phase 3, Open Label, International Multicenter Study on Efficacy and Safety of Prophylaxis with  rVWF in Severe vonWillebrand Disease",III,Completed,RGH,22,23,0,0,6,0,0,104.55%,32,0,0,IQVIA,0,,,2014-02-19,,2017-10-25,2017-12-22,,2019-06-17,,2020-08-25,,,,,2020-10-22,,,,,58,5,5,,,,,58,,,,435
1553,91301,FEIBA,FEIBA NF Global Outcome Study,IV,Completed,NonCore,55,53,53,0,0,0,42,96.36%,40,0,0,Synteract,0,,,2013-09-30,,,2014-09-03,,2017-12-19,,2020-02-28,,,,,2020-08-31,,,,,185,5,5,,,,,,,,,801
1591,241302,Obizur (antihemophilic factor [recombinant] porcine sequence),OBIZUR US PMR: Post-Marketing Non-Interventional Safety Evaluation of Obizur in the Treatment of Bleeding Episodes for Patients With Acquired Hemophilia A,IV,Completed,RGH,40,53,0,0,0,0,0,132.50%,40,0,0,IQVIA,0,,2013-10-31,2015-03-11,,2015-12-30,2015-12-30,,2018-10-19,,2019-06-07,,,,,2021-04-16,,,,,679,5,5,,496,,,0,,,,231
1630,471101,GLASSIA,"A Phase 3/4 Study to Evaluate the Safety, Immunogenicity,
and Effects on the Alpha1-Proteinase Inhibitor (A1PI) Levels
in Epithelial Lining Fluid Following GLASSIA Therapy in
A1PI-Deficient Subjects",IV,Completed,NonCore,36,36,0,0,25,0,0,100.00%,20,0,0,IQVIA,0,,2015-10-21,2016-01-19,,2016-03-08,2016-04-21,,2020-02-05,,2020-07-29,,,,,2020-11-09,,,,,103,5,5,,90,,,44,,,,175
1690,Cabozantinib-2001,cabozantinib,Cabozantinib-2001 Japan Ph 2 study (RCC 2nd Line),II,Enrollment Complete,Oncology,35,35,46,0,11,0,0,100.00%,19,0,0,MEDISCIENCE PLANNING INC,0,,,2017-08-24,,2017-11-16,2017-12-27,,2018-07-03,2019-04-30,2018-10-23,,,,2020-08-25,2018-12-18,,,,2020-11-19,56,5,5,,,,,41,,,301,112
1692,Cabozantinib-2003,cabozantinib,Cabozantinib-2003 Japan Ph2 study (HCC 2nd Line),II,Enrollment Complete,Oncology,32,34,39,0,8,0,0,106.25%,18,0,0,Takeda PRA Development Center,0,,,2018-04-26,,2018-08-12,2018-08-27,,2019-01-29,2019-07-28,2019-07-23,,,,2020-12-24,2019-09-19,,,,2021-03-24,58,5,5,,,,,15,,,180,175
1693,Darvadstrocel-3002,Alofisel,"A Phase 3, Multicenter, Open-Label, Uncontrolled Study to Evaluate the Efficacy and
Safety of Cx601 in the Treatment of Complex Perianal Fistulas in Adult Patients with
Crohn's Disease",III,Enrollment Complete,GI,20,22,0,0,4,0,0,110.00%,7,0,0,MEDISCIENCE PLANNING INC,0,,2017-09-26,2018-04-20,,2019-03-06,2019-03-28,,2020-02-04,,2020-07-20,2021-02-01,,,,2020-11-11,2021-03-26,,,,114,5,5,,206,,,22,,,,167
1698,C16028,Ninlaro,"C16028 A Phase 2, Open-Label, Multicenter Study of Ixazomib Plus Lenalidomide and Dexamethasone in Adult Japanese Patients With Relapsed and/or Refractory Multiple Myelom",II,Closed,Oncology,30,34,43,0,9,0,6,113.33%,20,0,0,EPS,0,,,2016-08-23,,2016-11-04,2016-11-22,,2017-08-04,2019-08-04,2018-08-03,,,,2019-08-04,2018-10-02,,,,2019-11-01,60,5,5,,,,,18,,,730,364
1699,TB-MC010034,Ninlaro,MLN9708/ONC-001 MLN9708 TB-MC010034 (ONC-001) - P1/1b Relapased or Refractory Multiple Myeloma Mono+Combo (capsule),I,Closed,Oncology,1,0,0,0,0,0,0,0.00%,5,0,0,Takeda PRA Development Center,0,,,2012-01-16,,2012-05-23,2012-06-06,,2013-10-02,2015-03-21,2019-02-15,,,,,2019-05-15,,,,,89,5,5,,,,,14,,,535,1962
1700,Niraparib-1001,Niraparib,JPN Ph1 study (Ovarian) (Niraparib),I,Closed,Oncology,9,9,11,0,2,0,8,100.00%,1,0,0,Takeda PRA Development Center,0,,,2018-01-23,,2018-04-23,2018-04-27,,2018-10-23,2018-12-29,2018-12-03,,,,2020-02-10,2019-05-20,,,,2020-06-18,168,5,5,,,,,4,,,67,41
1702,SYR-472-3003,Zafatek (Trelagliptin),SYR-472/CCT-201 Phase 3 - Pivotal/Long-term Safety Study,III,Closed,NonCore,107,107,267,0,160,0,25,100.00%,51,0,0,A2 Healthcare,0,,2015-02-05,2015-04-01,,2015-08-07,2015-09-14,,2017-04-11,,2018-04-24,,,,,2018-06-18,,,,,55,5,5,,55,,,38,,,,378
1703,Vonoprazan-3001,vonoprazan,3001 P3 NERD (TAK-438),III,Closed,GI,484,484,0,0,0,0,0,100.00%,45,0,0,EPS,0,,2016-01-19,2016-08-31,,2016-11-15,2016-11-25,,2018-01-29,,2018-02-26,,,,,2018-05-29,,,,,92,5,5,,225,,,10,,,,28
1704,TAK-438ASA-1001,vonoprazan ASA,1001 BE Study (TAK-438 ASA) (vonoprazan ASA (TAK-438 ASA)),I,Closed,GI,552,548,0,0,0,0,0,99.28%,1,0,0,MEDISCIENCE PLANNING INC,0,,2017-10-19,2017-12-29,,2018-03-08,2018-04-02,,2018-10-10,,2018-10-12,,,,,2018-12-27,,,,,76,5,5,,71,,,25,,,,2
1705,TAK-536/OCT-101,Azilva (azilsartan),TAK-536/OCT-101 Phase 3 - Long-term Safety Study in 6 to 16 y/o HTN patients,III,Closed,NonCore,30,27,35,0,8,0,4,90.00%,32,0,0,MEDISCIENCE PLANNING INC,0,,,2016-03-22,,2016-08-02,2016-09-09,,2018-05-29,,2019-06-04,,,,,2019-07-23,,,,,49,5,5,,,,,38,,,,371
1706,TAK-831-1002,TAK-831,Asia SRD/MRD (TAK-831),I,Closed,NS,40,40,0,0,0,0,0,100.00%,1,0,0,Takeda PRA Development Center,0,,2018-06-19,2018-09-05,,2018-10-09,2018-10-19,,2019-05-22,,2019-06-19,,,,,2019-07-23,,,,,34,5,5,,78,,,10,,,,28
1707,TAK-906-1004,TAK-906,1.1 TAK-906-1004 Japan SAD/MAD study,I,Closed,GI,24,24,0,0,0,0,0,100.00%,1,0,0,MEDISCIENCE PLANNING INC,0,,2017-02-22,2017-05-26,,2017-08-07,2017-08-25,,2017-09-14,,2017-10-07,,,,,2017-12-15,,,,,69,5,5,,93,,,18,,,,23
1709,TAK-925-1001,TAK-925,1001 Ph1 SRD POM study (TAK-925),I,Closed,NS,101,101,0,0,0,0,0,100.00%,1,0,0,MEDISCIENCE PLANNING INC,0,,2017-07-12,2017-09-11,,2017-11-11,2017-11-20,,2018-08-31,,2018-09-04,,,,,2018-10-12,,,,,38,5,5,,61,,,9,,,,4
1711,TAK-438ODT-1001,vonoprazan OD,"An Open-Label, Crossover Phase 1 Study to Evaluate the Bioequivalence of TAK-438 OD (Orally Disintegrating) Tablet When Administered without Water (Study 1) or with Water (Study 2) and TAK-438 tablet in Healthy Adult Male Subjects",I,Closed,GI,96,96,0,0,0,0,0,100.00%,1,0,0,Takeda PRA Development Center,0,,2018-09-20,2018-12-12,,2019-01-30,2019-02-14,,2019-03-02,,2019-03-12,,,,,2019-06-17,,,,,97,5,5,,83,,,15,,,,10
1712,MLN0002/CCT-101,Entyvio,CCT-101 P3 Comparator study UC (Vedolizumab),III,Closed,GI,278,292,344,0,52,0,49,105.04%,100,0,0,MEDISCIENCE PLANNING INC,0,,,2013-11-11,,2014-02-04,2014-02-13,,2015-11-10,,2016-12-03,,,,2018-02-27,2017-02-20,,,,2018-08-16,79,5,5,,,,,9,,,,389
1713,MLN0002/CCT-001,Entyvio,CCT-001 P3 Comparator study CD (Vedolizumab),III,Closed,GI,110,157,194,0,37,0,25,142.73%,60,0,0,MEDISCIENCE PLANNING INC,0,,,2013-11-11,,2014-01-28,2014-02-10,,2016-09-29,,2017-11-16,,,,2019-01-25,2018-02-06,,,,2019-07-10,82,5,5,,,,,13,,,,413
1714,Azilsartan-1005,Azilva (azilsartan),1005 Definitive FE with Ped (TAK-536) (Azilva (azilsartan)),I,Closed,NonCore,23,23,0,0,0,0,0,100.00%,1,0,0,MEDISCIENCE PLANNING INC,0,,2017-10-03,2017-12-05,,2018-02-14,2018-02-28,,2018-03-06,,2018-03-11,,,,,2018-04-06,,,,,26,5,5,,63,,,14,,,,5
1715,Niraparib-2002,Niraparib,JPN Ph2 study (Ovarian) (Niraparib),II,"Active, Not Recruiting",Oncology,16,20,35,0,15,0,8,125.00%,30,0,0,MEDISCIENCE PLANNING INC,0,,,2018-11-14,,2018-12-26,2019-01-21,,2019-04-01,2020-06-09,2019-07-01,,,,,2019-08-23,,,,,53,5,5,,,,,26,,,435,91
1716,Niraparib-2001,Niraparib,JPN Ph2 2nd line maintenance study (Ovarian) (Niraparib),II,Enrollment Complete,Oncology,15,19,21,0,2,0,9,126.67%,30,0,0,MEDISCIENCE PLANNING INC,0,,,2018-11-14,,2018-12-28,2019-01-08,,2019-02-12,2020-11-03,2019-03-17,,,,,2019-05-20,,,,,64,5,5,,,,,11,,,630,33
1718,TAK-925-1003,TAK-925,1003 Ph1 MRD POM study (TAK-925),I,Closed,NS,54,57,0,0,0,0,0,105.56%,3,0,0,Takeda PRA Development Center,0,,2018-08-29,2018-10-05,,2018-11-21,2018-12-15,,2019-10-11,,2019-10-25,,,,,2019-11-21,,,,,27,5,5,,37,,,24,,,,14
1723,TAK-123-1001,Ammonul (sodium phenylacetate and sodium benzoate),TAK-123 Ph-1 Japan study,I,Closed,NonCore,10,10,0,0,0,0,0,100.00%,1,0,0,PRA,0,,2019-05-22,2019-08-21,,2019-11-13,2019-11-29,,2019-11-29,,2019-12-18,,,,,2020-01-10,,,,,23,5,5,,91,,,16,,,,19
1785,DX-2930-03,Takhzyro (Lanadelumab),"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Efficacy and Safety Study to Evaluate DX-2930 For Long-Term Prophylaxis Against Acute Attacks of Hereditary Angioedema (HAE).",III,Completed,RGH,120,125,0,0,6,125,11,104.17%,60,0,Dyax,IQVIA,1-Aug-17,4/13/2017,2015-08-05,2015-09-14,,,2016-03-03,,2016-09-06,,2017-04-13,,,,,2017-05-10,,,,,27,5,5,-617,40,,,,,,,219
1786,DX-2930-04,Takhzyro (Lanadelumab),"HELP Study Extension: An Open-Label Study to Evaluate the
Long-Term Safety and Efficacy of DX-2930 for Prevention Against
Acute Attacks of Hereditary Angioedema (HAE).",III,Completed,RGH,250,0,0,0,0,0,0,0,60,0,Dyax,"Red Maple Trials, Rho, Triumpharma",26-Feb-20,,2015-08-05,2015-12-14,,,2016-05-26,,2017-03-30,,2019-10-31,,,,,2019-12-17,,,,,47,5,5,,131,,,,,,,945
1813,HGT-HIT-094,idursulfase IT (TAK-609),"A Controlled, Randomized, Two-Arm, Open-label, Assessor-blinded, Multicenter Study of Intrathecal Idursulfase-IT Administered in Conjunction with Intravenous Elaprase® in Pediatric Patients with Hunter Syndrome and Early Cognitive Impairment",III,Completed,RGH,0,58,0,0,0,0,2,0,12,0,Shire HGT,PPD,0,1/9/2017,2012-09-11,2013-04-04,,2014-04-03,2014-04-03,,2016-09-30,,2017-09-28,,,,,2017-12-04,,,,,67,5,5,-1581,205,,,0,,,,363
1817,HGT-MLD-070,arylsulfatase A (TAK-611),A Phase I/II Multicenter Open-label Dose Escalation Study of HGT-1110 Administered Intrathecally (IT) in Children with Metachromatic Leukodystrophy,II,Completed,RGH,24,24,34,0,11,24,2,100.00%,6,0,0,ICON / MAPI / Paradigm,0,,2010-06-24,2011-01-24,,2012-02-17,2012-08-01,,2016-04-07,,2017-02-20,,,,,2017-03-13,,,,,21,5,5,,214,,,166,,,,319
